[0.254s] Invoking command in '/home/olympusforge/ros2_frost/build/tortoisebot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/olympusforge/ros2_frost/install/tortoisebot_control:/opt/ros/humble /usr/bin/cmake --build /home/olympusforge/ros2_frost/build/tortoisebot_description -- -j8 -l8
[0.349s] Invoked command in '/home/olympusforge/ros2_frost/build/tortoisebot_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/olympusforge/ros2_frost/install/tortoisebot_control:/opt/ros/humble /usr/bin/cmake --build /home/olympusforge/ros2_frost/build/tortoisebot_description -- -j8 -l8
[0.350s] Invoking command in '/home/olympusforge/ros2_frost/build/tortoisebot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/olympusforge/ros2_frost/install/tortoisebot_control:/opt/ros/humble /usr/bin/cmake --install /home/olympusforge/ros2_frost/build/tortoisebot_description
[0.353s] -- Install configuration: ""
[0.353s] -- Execute custom install script
[0.353s] -- Up-to-date symlink: /home/olympusforge/ros2_frost/install/tortoisebot_description/share/tortoisebot_description/launch/display.launch.py
[0.353s] -- Up-to-date symlink: /home/olympusforge/ros2_frost/install/tortoisebot_description/share/tortoisebot_description/launch/rviz.launch.py
[0.353s] -- Up-to-date symlink: /home/olympusforge/ros2_frost/install/tortoisebot_description/share/tortoisebot_description/launch/state_publisher.launch.py
[0.353s] -- Up-to-date symlink: /home/olympusforge/ros2_frost/install/tortoisebot_description/share/tortoisebot_description/models/meshes/base_link.stl
[0.353s] -- Up-to-date symlink: /home/olympusforge/ros2_frost/install/tortoisebot_description/share/tortoisebot_description/models/meshes/camera.stl
[0.356s] -- Up-to-date symlink: /home/olympusforge/ros2_frost/install/tortoisebot_description/share/tortoisebot_description/models/meshes/caster.stl
[0.356s] -- Up-to-date symlink: /home/olympusforge/ros2_frost/install/tortoisebot_description/share/tortoisebot_description/models/meshes/imu.stl
[0.357s] -- Up-to-date symlink: /home/olympusforge/ros2_frost/install/tortoisebot_description/share/tortoisebot_description/models/meshes/lidar_body.stl
[0.357s] -- Up-to-date symlink: /home/olympusforge/ros2_frost/install/tortoisebot_description/share/tortoisebot_description/models/meshes/lidar_bottom.stl
[0.357s] -- Up-to-date symlink: /home/olympusforge/ros2_frost/install/tortoisebot_description/share/tortoisebot_description/models/meshes/lidar_motorend.stl
[0.357s] -- Up-to-date symlink: /home/olympusforge/ros2_frost/install/tortoisebot_description/share/tortoisebot_description/models/meshes/lidar_top.stl
